#---------------------------------------------------------------------------------------------------------------
#     NAME                    P0                                     P1                               P1_I
#                             (s)
#---------------------------------------------------------------------------------------------------------------
57    B0353+52     dtws85     0.1970300980314          3  hlk+04     4.76594E-16        3  hlk+04     4.76e-16
58    B0355+54     mth72      0.1563824177774         15  hlk+04     4.396862E-15      13  hlk+04     4.40e-15
59    B0403-76     mlt+78     0.545252742352          16  smd93      1.5382E-15        12  smd93      *
60    B0402+61     dth78      0.5945761650437          8  ywml10     5.57316E-15        3  ywml10     5.55e-15

61    B0410+69     dtws85     0.3907150899386          3  hlk+04     7.6601E-17         3  hlk+04     7.64e-17
62    J0418-4154   bcm+15     0.75711887132            6  bcm+15     9.7E-16            6  bcm+15     *
63    J0421-0345   mld+96     2.161308494552          15  hlk+04     1.16338E-15       15  hlk+04     *
64    J0426+4933   hrk+08     0.922474730055           2  bck+13     39.3444E-15        2  bck+13     *
65    J0448-2749   lml+98     0.4504483308563         17  hlk+04     1.48347E-16       19  hlk+04     *

66    J0449-7031   mfl+06     0.479163971291          14  mfl+06     3.371E-15          4  mfl+06     *
67    B0447-12     mlt+78     0.4380141493906          8  hlk+04     1.02649E-16        6  hlk+04     *
68    B0450-18     vlw69      0.548939223294           3  hlk+04     5.753107E-15      16  hlk+04     5.75e-15
69    B0450+55     dth78      0.340729436235          10  hlk+04     2.37227E-15        7  hlk+04     2.37e-15
70    B0456-69     mmh+91     0.320422711526          12  ckm+01     1.02119E-14       15  ckm+01     *

71    J0456-7031   mfl+06     0.80013207321           10  mfl+06     36.70E-15          3  mfl+06     *
72    J0457-6337   mfl+06     2.49701169613           19  mfl+06     0.21E-15           3  mfl+06     *
73    J0458-0505   lbr+13     1.88347965849           18  lbr+13     5.3E-16           15  lbr+13     *
74    J0459-0210   mld+96     1.133076123659           6  hlk+04     1.39825E-15        6  hlk+04     *
75    B0458+46     dth78      0.638565481517           3  hlk+04     5.582339E-15      17  hlk+04     5.58e-15

76    B0502-66     mmh+91     0.69125141818            4  ckm+01     2.3090E-14         6  ckm+01     *
77    J0511-6508   mfl+06     0.322061827468           8  mfl+06     0.206E-15          4  mfl+06     *
78    J0519-6932   mfl+06     0.263211634568           3  mfl+06     0.6968E-15         5  mfl+06     *
79    J0520-2553   lml+98     0.2416421756731          7  hlk+04     3.0092E-17         9  hlk+04     *
80    J0522-6847   mfl+06     0.67453190906            3  mfl+06     17.727E-15        14  mfl+06     *

81    B0523+11     mlt+78     0.35443759451370        13  hlk+04     7.36052E-17        6  hlk+04     6.75e-17
82    B0525+21     sr68       3.74553925030            3  ywml10     4.00530E-14       15  ywml10     4.00e-14
83    B0529-66     mhah83     0.97572496638            6  ckm+01     1.5509E-14         6  ckm+01     *
84    J0532-6639   mfl+06     0.64274275093            3  mfl+06     5.354E-15         13  mfl+06     *
85    J0533+0402   snt97      0.96301770198            2  snt97      1.60E-16           1  snt97      *

86    B0531+21     sr68       0.0333924123            12  ljg+15     4.20972E-13        3  ljg+15     4.21e-13
87    J0534-6703   mfl+06     1.81756503106           17  mfl+06     425.05E-15         6  mfl+06     *
88    J0535-6935   ckm+01     0.20051133               2  mfl+06     11.5E-15           3  mfl+06     *
89    B0538-75     mlt+78     1.24585559629            5  smd93      5.65E-16           3  smd93      *
90    J0538+2817   fcwa95     0.14315825891177        11  klh+03     3.6694515E-15     13  klh+03     3.67e-15

91    J0540+3207   cfl+06     0.5242708632083          5  nab+13     0.44811E-15        2  nab+13     *
92    B0540-69     shh84      0.05049881764574         6  lkg05      4.78924621E-13     3  lkg05      *
93    J0540-7125   lml+98     1.286014595              3  dsb+98     8.2E-16            8  dsb+98     *
94    B0540+23     dls72      0.2459747688901         19  hlk+04     1.5422691E-14     19  hlk+04     1.54e-14
95    J0543-6851   mfl+06     0.70895418575            6  mfl+06     3.94E-15           3  mfl+06     *

96    J0546+2441   clm+05     2.84385038524            6  clm+05     7.65E-15           3  clm+05     *
97    J0555-7056   mfl+06     0.82783808575            7  mfl+06     5.96E-15           3  mfl+06     *
98    B0559-57     mlt+78     2.261364513              3  nmc81      2.78E-15           9  nmc81      *
99    B0559-05     mlt+78     0.3959691695432          5  hlk+04     1.302098E-15       5  hlk+04     1.30e-15
100   J0609+2130   lxf+05     0.05569801392951         2  lxf+05     0.000235E-15       2  lxf+05     *

101   B0609+37     stwd85     0.29798232657184        18  hlk+04     5.94681E-17       18  hlk+04     5.94e-17
102   J0613+3731   cvh+14     0.61919818110            7  cvh+14     3.2448E-15        20  cvh+14     *
103   B0611+22     dls72      0.33495996611           16  hlk+04     5.94494E-14       12  hlk+04     5.94e-14
104   J0621+0336   bkl+13     0.2699540683678          9  bkl+13     0.00724E-15        6  bkl+13     *
105   J0623+0340   bkl+13     0.613759600022           7  bkl+13     0.08837E-15        3  bkl+13     *

106   B0621-04     mlt+78     1.0390764758510         15  hlk+04     8.30442E-16       12  hlk+04     *
107   J0627+0649   bkl+13     0.346522567131          13  bkl+13     1.698E-15          3  bkl+13     *
108   J0627+0706   cha03      0.47587700897           15  bkl+13     29.8087E-15       18  bkl+13     *
109   B0626+24     dth78      0.476622836038           4  hlk+04     1.99573E-15        3  hlk+04     2.00e-15
110   J0630-0046   bkl+13     0.680574832268           7  bkl+13     3.7481E-15        19  bkl+13     *

111   B0628-28     lvw69a     1.24441859615            8  hlk+04     7.1229E-15         3  hlk+04     7.12e-15
112   J0631+1036   zcwl96     0.287800021959           9  ywml10     1.046741E-13      17  ywml10     *
113   J0633+1746   hh92       0.2370994416923         20  jh05       1.097087E-14       5  jh05       1.10e-14
114   J0633-2015   bjd+06     3.2532108384             5  bjd+06     3.82E-15           8  bjd+06     *
115   J0636-4549   bjd+06     1.98459736713            4  bjd+06     3.1722E-15        20  bjd+06     *

116   J0645+5158   slr+14     0.00885349668613151      7  slr+14     4.923E-21          8  slr+14     3.96e-21
117   J0646+0905   bkl+13     0.9039132                7  bkl+13     0.7357E-15         3  bkl+13     *
118   J0647+0913   bkl+13     1.23485362778            3  bkl+13     6.421E-15          8  bkl+13     *
119   J0652-0142   bkl+13     0.924053918109          14  bkl+13     0.1525E-15        12  bkl+13     *
120   B0643+80     dbtb82     1.2144405115160         20  hlk+04     3.798787E-15      15  hlk+04     3.80e-15

121   J0656-2228   bjd+06     1.22475441462            3  bjd+06     0.0267E-15        17  bjd+06     *
122   J0656-5449   jbo+09     0.183156898795           2  jbo+09     0.03191E-15        9  jbo+09     *
123   J0658+0022   bkl+13     0.563294925255           3  bkl+13     9.15201E-15       13  bkl+13     *
124   B0656+14     mlt+78     0.384891195054           5  hlk+04     5.500309E-14       3  hlk+04     5.50e-14
125   J0709-5923   jbo+09     0.485268383925           5  jbo+09     0.1260E-15         2  jbo+09     *

126   J0711+0931   lzb+00     1.21409049248            1  lzb+00     4E-16              1  lzb+00     *
127   J0711-6830   bjb+97     0.00549096850619231      4  rhc+15     1.49067E-20        4  rhc+15     8.73e-21
128   J0719-2545   bjd+06     0.974724730631           9  bjd+06     7.2819E-15         7  bjd+06     *
129   J0725-1635   mld+96     0.4243114031834         11  hlk+04     9.2640E-17        11  hlk+04     *
130   J0726-2612   bjd+06     3.4423084877             4  bjd+06     293.11E-15         4  bjd+06     *

131   J0729-1448   mhl+02     0.251658714181          13  mhl+02     1.132879E-13       4  mhl+02     *
132   B0727-18     mlt+78     0.51016034483            3  hlk+04     1.895713E-14      19  hlk+04     *
133   J0733-2345   lfl+06     1.79624970117           10  lfl+06     5.704E-15         10  lfl+06     *
134   J0734-1559   sbd+11      0.156250                0  sbd+11     1.22e-14           0  sbd+11     *
135   J0737-2202   mhl+02     0.320366370454           5  mhl+02     5.46883E-15       11  mhl+02     *

136   B0736-40     lvw68      0.374919985032           6  wmz+01     1.6161E-15         9  wmz+01     1.62e-15
137   B0740-28     fss73      0.166762291572          20  hlk+04     1.682112E-14      14  hlk+04     1.68e-14
138   B0743-53     mlt+78     0.2148363514             5  nmc81      2.73E-15           3  nmc81      *
139   J0746-4529   bjd+06     2.79102517845            5  bjd+06     16.660E-15         5  bjd+06     *
140   J0749-4247   mld+96     1.095452157610          14  dsb+98     9.770E-16          4  dsb+98     *

141   B0751+32     dth78      1.442349479143           3  hlk+04     1.079865E-15      17  hlk+04     1.08e-15
142   B0756-15     mlt+78     0.6822651758060         14  hlk+04     1.618890E-15      14  hlk+04     1.62e-15
143   J0804-3647   bkl+13     2.19198689593           15  bkl+13     4.21E-15           3  bkl+13     *
144   J0807-5421   bbb+12     0.52664353143            3  bbb+12     0.378E-15          1  bbb+12     *
145   J0808-3937   bkl+13     0.86634928471            3  bkl+13     0.401E-15          3  bkl+13     *

146   B0808-47     mlt+78     0.547199235502           4  smd93      3.0825E-15         4  smd93      *
147   J0812-3905   bkl+13     0.482595929159           4  bkl+13     0.0449E-15        12  bkl+13     *
148   B0809+74     cp68       1.292241446862           3  hlk+04     1.68114E-16       14  hlk+04     1.65e-16
149   J0815+0939   clm+05     0.64516119106            5  clm+05     0.139E-15          6  clm+05     *
150   J0818-3049   bkl+13     0.7637418483             5  bkl+13     0.58E-15          24  bkl+13     *

