1     J0420-5022  hmz+04     3.453004027             12  kv11       2.759E-14         10  kv11       *
2     J0720-3125  hmb+97     8.391115532             26  kv05       6.983E-14         22  kv05       6.97e-14
3     J0806-4123  hmz+04     11.37038593             12  kk09       5.6E-14           30  kk09       *
4     J1308+2127  hhss02     10.31252206              2  kv05a      1.120E-13          3  kv05a      *
5     J1836+5925  aaa+09c    0.173263836028          10  lhl+14     1.5016E-15        10  lhl+14     *
6     J1856-3754  tm07       7.05520287               3  vk08       2.98E-14           7  vk08       2.95e-14
7     J2143+0654  zct+05     9.42822888              10  kk09b      4.1E-14           18  kk09b      *
